Station,Week,AAS,TLH,CUME,SS,TSL
WYMSFM,2024-08-12,118.5121644,19910.04361,4578,17108,04:21
WYMSFM,2024-08-05,117.7885516,19788.47667,4443,16914,04:27
WYMSFM,2024-08-19,117.0220552,19659.70528,4357,16519,04:31
WYMSFM,2024-12-30,116.8806481,19635.94889,4075,16102,04:49
WYMSFM,2024-07-29,116.5396263,19578.65722,4391,17151,04:28
WYMSFM,2025-04-07,115.6375397,19427.10667,5194,18287,03:44
WYMSFM,2024-06-10,114.6846181,19267.01583,4417,17444,04:22
WYMSFM,2024-04-08,114.3804927,19215.92278,4635,16849,04:09
WYMSFM,2024-09-30,108.0066749,18145.12139,4460,16407,04:04
WYMSFM,2024-07-01,107.9659375,18138.2775,4025,14943,04:30
WYMSFM,2024-12-23,107.7786045,18106.80556,3982,15123,04:33
WYMSFM,2024-11-25,107.4630308,18053.78917,4203,15088,04:18
WYMSFM,2024-04-01,106.9577431,17968.90083,4075,15013,04:25
WYMSFM,2024-10-07,105.6554299,17750.11222,4267,15834,04:10
WYMSFM,2025-09-29,138.3820023,6642.336111,2115,6241,03:08
WYMSHD2,2025-08-04,5.096362434,856.1888889,280,761,03:03
WYMSHD2,2025-03-03,4.975486111,835.8816667,328,858,02:33
WYMSHD2,2025-05-26,4.961889881,833.5975,290,811,02:52
WYMSHD2,2025-04-21,4.82921131,811.3075,278,712,02:55
WYMSHD2,2025-06-02,4.732743056,795.1008333,300,892,02:39
WYMSHD2,2025-08-11,4.707308201,790.8277778,309,777,02:34
WYMSHD2,2025-04-28,4.638247354,779.2255556,312,722,02:30
WYMSHD2,2025-06-09,4.493191138,754.8561111,288,985,02:37
WYMSHD2,2025-08-18,4.457896825,748.9266667,254,729,02:57
WYMSHD2,2025-06-23,4.330676257,727.5536111,323,822,02:15
WYMSHD2,2025-07-14,4.322595899,726.1961111,290,740,02:30
WYMSHD2,2025-03-17,4.290243056,720.7608333,275,739,02:37
WYMSHD2,2025-03-31,4.289694114,720.6686111,268,729,02:41
WYMSHD2,2025-09-08,4.245171958,713.1888889,276,699,02:35
WYMSHD2,2025-09-01,4.243630952,712.93,269,712,02:39
WYMSHD2,2025-07-28,4.241626984,712.5933333,294,783,02:25
WYMSHD2,2025-07-07,4.205854828,706.5836111,287,837,02:28
WYMSHD2,2025-04-07,4.119909061,692.1447222,286,889,02:25
WYMSHD2,2025-03-10,4.109171627,690.3408333,349,784,01:59
WYMSHD2,2025-08-25,4.088321759,686.8380556,252,753,02:44
WYMSHD2,2025-05-05,4.000952381,672.16,299,742,02:15
WYMSHD2,2025-09-15,3.988354828,670.0436111,267,735,02:31
WYMSHD2,2025-04-14,3.969743717,666.9169444,310,795,02:09
WYMSHD2,2025-05-19,3.953943452,664.2625,271,672,02:27
WYMSHD2,2025-06-16,3.945251323,662.8022222,328,844,02:01
WYMSHD2,2024-04-08,3.935663029,661.1913889,252,682,02:37
