Station,Hour of day,Week,AAS,TLH,CUME,SS,TSL
414 Music,23,2025-04-28,1.148531746,8.039722222,6,5,01:20
414 Music,3,2024-09-02,1.148015873,8.036111111,4,8,02:01
WYMSHD2,6,2024-11-11,1.147896825,8.035277778,11,11,00:44
414 Music,5,2024-12-09,1.147103175,8.029722222,3,8,02:41
414 Music,0,2024-09-02,1.147063492,8.029444444,4,5,02:00
414 Music,2,2024-12-09,1.146904762,8.028333333,3,9,02:41
414 Music,2,2024-09-02,1.146626984,8.026388889,4,5,02:00
WYMSHD2,3,2024-03-25,1.146626984,8.026388889,7,1,01:09
414 Music,4,2024-12-30,1.146388889,8.024722222,3,5,02:41
WYMSHD2,4,2024-08-05,1.146190476,8.023333333,6,1,01:20
414 Music,15,2024-05-13,1.146071429,8.0225,15,11,00:32
414 Music,21,2024-04-15,1.144563492,8.011944444,5,37,01:36
414 Music,6,2025-05-26,1.143412698,8.003888889,7,8,01:09
414 Music,1,2024-12-09,1.143055556,8.001388889,2,7,04:00
414 Music,23,2024-06-17,1.143015873,8.001111111,3,5,02:40
414 Music,3,2024-06-17,1.142936508,8.000555556,3,4,02:40
414 Music,6,2024-12-09,1.142936508,8.000555556,2,6,04:00
414 Music,1,2024-05-20,1.142857143,8,3,0,02:40
414 Music,2,2024-04-29,1.142857143,8,2,0,04:00
414 Music,4,2024-04-22,1.142857143,8,2,0,04:00
414 Music,5,2024-04-22,1.142857143,8,2,0,04:00
414 Music,11,2025-04-28,1.142857143,8,5,0,01:36
WYMSHD2,4,2025-01-06,1.142857143,8,7,0,01:09
414 Music,13,2025-02-10,1.14281746,7.999722222,19,29,00:25
WYMSHD2,2,2024-06-10,1.142261905,7.995833333,10,11,00:48
414 Music,11,2025-03-03,1.141746032,7.992222222,12,11,00:40
414 Music,14,2024-01-29,1.141071429,7.9875,8,7,01:00
414 Music,2,2025-02-03,1.140753968,7.985277778,4,2,02:00
414 Music,13,2024-05-06,1.140595238,7.984166667,6,7,01:20
414 Music,12,2025-05-19,1.140555556,7.983888889,9,16,00:53
WYMSHD2,18,2024-10-14,1.136984127,7.958888889,24,27,00:20
WYMSHD2,3,2024-07-29,1.135079365,7.945555556,8,3,01:00
414 Music,15,2024-10-21,1.134642857,7.9425,5,3,01:35
414 Music,12,2024-01-29,1.134166667,7.939166667,8,3,01:00
WYMSHD2,4,2025-01-13,1.133690476,7.935833333,10,8,00:48
414 Music,22,2024-04-22,1.133531746,7.934722222,3,8,02:39
414 Music,20,2024-06-10,1.132460317,7.927222222,11,22,00:43
414 Music,8,2025-09-15,1.131746032,7.922222222,19,31,00:25
414 Music,13,2024-05-20,1.130833333,7.915833333,7,2,01:08
414 Music,23,2025-04-07,1.129642857,7.9075,7,5,01:08
WYMSHD2,3,2025-01-13,1.128611111,7.900277778,12,7,00:40
414 Music,13,2024-03-25,1.127857143,7.895,13,10,00:36
WYMSHD2,2,2025-01-13,1.127063492,7.889444444,18,22,00:26
WYMSHD2,20,2024-01-22,1.124722222,7.873055556,20,20,00:24
WYMSHD2,5,2024-05-27,1.123571429,7.865,15,11,00:31
WYMSHD2,7,2024-02-19,1.12297619,7.860833333,15,13,00:31
414 Music,8,2024-03-25,1.122857143,7.86,7,7,01:07
414 Music,19,2024-01-29,1.122261905,7.855833333,12,15,00:39
WYMSHD2,6,2025-01-13,1.121825397,7.852777778,12,17,00:39
414 Music,20,2024-02-12,1.118571429,7.83,8,8,00:59
WYMSHD2,5,2024-05-20,1.118174603,7.827222222,11,12,00:43
414 Music,3,2024-04-01,1.116666667,7.816666667,4,2,01:57
414 Music,10,2024-10-21,1.115952381,7.811666667,13,17,00:36
414 Music,12,2024-08-19,1.114920635,7.804444444,8,7,00:59
414 Music,19,2024-10-21,1.114920635,7.804444444,6,4,01:18
414 Music,5,2024-05-20,1.11452381,7.801666667,4,1,01:57
WYMSHD2,4,2025-02-17,1.113412698,7.793888889,12,6,00:39
414 Music,7,2024-08-26,1.110357143,7.7725,6,13,01:18
414 Music,4,2024-09-02,1.109880952,7.769166667,4,4,01:57
WYMSHD2,4,2024-12-02,1.108333333,7.758333333,11,6,00:42
WYMSHD2,1,2024-07-08,1.106984127,7.748888889,8,3,00:58
WYMSHD2,9,2025-09-29,3.869305556,7.738611111,12,7,00:39
414 Music,13,2024-09-02,1.103412698,7.723888889,9,12,00:52
414 Music,18,2025-03-24,1.103095238,7.721666667,16,18,00:29
414 Music,8,2025-01-13,1.102777778,7.719444444,12,16,00:39
WYMSHD2,1,2024-05-20,1.101388889,7.709722222,9,4,00:51
414 Music,20,2024-07-08,1.100714286,7.705,7,7,01:06
WYMSHD2,23,2024-10-14,1.099365079,7.695555556,11,11,00:42
